yearID,lgID,SLG,DH_Rule_Applied
1946,AL,0.36414214351665525,No
1946,NL,0.355490093600038,No
1947,NL,0.3903944949804402,No
1947,AL,0.36445883529355744,No
1948,AL,0.3816391887083383,No
1948,NL,0.3825492237788716,No
1949,NL,0.38905668329001897,No
1949,AL,0.37886678346012626,No
1950,NL,0.401027913994719,No
1950,AL,0.4024807225222251,No
1951,NL,0.38965904833270887,No
1951,AL,0.3813413281084016,No
1952,NL,0.3737284493051244,No
1952,AL,0.36547959448921236,No
1953,AL,0.3832097832758865,No
1953,NL,0.4113135861535214,No
1954,AL,0.37333269703405,No
1954,NL,0.40702405596402313,No
1955,AL,0.381065117057656,No
1955,NL,0.4069135566035477,No
1956,AL,0.39393434427595403,No
1956,NL,0.40086979378240817,No
1957,NL,0.3997996225447937,No
1957,AL,0.3823088098697216,No
1958,AL,0.3830966318011707,No
1958,NL,0.40514438934105307,No
1959,AL,0.3840911257268135,No
1959,NL,0.3999055043704229,No
1960,NL,0.38792204097116845,No
1960,AL,0.38756632726229745,No
1961,AL,0.3947435523823401,No
1961,NL,0.4050987466767945,No
1962,NL,0.39281141228876987,No
1962,AL,0.3939607885732906,No
1963,AL,0.37981494610168876,No
1963,NL,0.3638669415907888,No
1964,AL,0.38175063428778544,No
1964,NL,0.3740684465668186,No
1965,NL,0.3740542102316846,No
1965,AL,0.36928369081343587,No
1966,AL,0.36864391109796235,No
1966,NL,0.3838403899972917,No
1967,AL,0.35135384558592814,No
1967,NL,0.36330098498891433,No
1968,NL,0.34121246335111904,No
1968,AL,0.3392541287307528,No
1969,NL,0.36908944350656264,No
1969,AL,0.369384765625,No
1970,AL,0.3788351732013704,No
1970,NL,0.3919506507184232,No
1971,NL,0.3663869626572387,No
1971,AL,0.36411874816293066,No
1972,NL,0.3645985170162875,No
1972,AL,0.3430127041742287,No
1973,AL,0.381450298750679,Yes
1973,NL,0.37585304220194593,No
1974,NL,0.3667462091463783,No
1974,AL,0.3714644782266368,Yes
1975,NL,0.36909624519681705,No
1975,AL,0.37900598124550644,Yes
1976,AL,0.3607919526411103,Yes
1976,NL,0.3611237730574042,No
1977,AL,0.4051374959560013,Yes
1977,NL,0.39644677661169414,No
1978,NL,0.3715544232304009,No
1978,AL,0.38466974650246694,Yes
1979,NL,0.3848202396804261,No
1979,AL,0.4083880892782645,Yes
1980,AL,0.3990987058340181,Yes
1980,NL,0.37447187349106714,No
1981,AL,0.37256213960994233,Yes
1981,NL,0.3639299949603702,No
1982,NL,0.37268158700934156,No
1982,AL,0.4023444521480112,Yes
1983,AL,0.4006502100975315,Yes
1983,NL,0.37579317376021426,No
1984,NL,0.36936239930824194,No
1984,AL,0.39776665383134385,Yes
1985,NL,0.37380351879425083,No
1985,AL,0.4055813712673285,Yes
1986,AL,0.4079171836228288,Yes
1986,NL,0.37999391449870684,No
1987,AL,0.42548734884796774,Yes
1987,NL,0.4035095660570946,No
1988,AL,0.39059801311603143,Yes
1988,NL,0.3625825541845248,No
1989,AL,0.383746298893564,Yes
1989,NL,0.36517920901894646,No
1990,NL,0.38286745088527774,No
1990,AL,0.3875911458333333,Yes
1991,NL,0.37258471659144804,No
1991,AL,0.39483009677460923,Yes
1992,AL,0.3850052497180707,Yes
1992,NL,0.36820891890247615,No
1993,NL,0.3988824220211901,No
1993,AL,0.4076845663561531,Yes
1994,NL,0.41456018014091667,No
1994,AL,0.4340555817239755,Yes
1995,AL,0.42700152469721814,Yes
1995,NL,0.40750771191472723,No
1996,AL,0.4449993678088254,Yes
1996,NL,0.4080246039814183,No
1997,AL,0.42813318847063336,Yes
1997,NL,0.4101654080799969,No
1998,NL,0.41018038331454343,No
1998,AL,0.43150632523974697,Yes
1999,NL,0.42918290997741854,No
1999,AL,0.4391751785577145,Yes
2000,NL,0.43163967862253927,No
2000,AL,0.4433651189733535,Yes
2001,AL,0.42811068164947397,Yes
2001,NL,0.42533484676503974,No
2002,NL,0.41000523953800944,No
2002,AL,0.42416568108191494,Yes
2003,NL,0.4171736819487481,No
2003,AL,0.4275772241447562,Yes
2004,NL,0.42296495226918823,No
2004,AL,0.4331965807623427,Yes
2005,NL,0.41407172038129825,No
2005,AL,0.42438151249760275,Yes
2006,AL,0.43687019886110295,Yes
2006,NL,0.427457115843501,No
2007,NL,0.4226106001854977,No
2007,AL,0.4227910184688482,Yes
2008,AL,0.4200258579858933,Yes
2008,NL,0.4128901179524804,No
2009,NL,0.40866369304992944,No
2009,AL,0.4280125697428333,Yes
2010,NL,0.3993923946931252,No
2010,AL,0.40675384357210165,Yes
2011,NL,0.39122096256199,No
2011,AL,0.4078570876189003,Yes
2012,NL,0.40032341084565104,No
2012,AL,0.41099216136988775,Yes
2013,AL,0.4043655552890381,Yes
2013,NL,0.38851130729229655,No
2014,AL,0.39012066455734273,Yes
2014,NL,0.38258719132996327,No
2015,AL,0.41220000965763676,Yes
2015,NL,0.39694139282775975,No
2016,NL,0.41207720699461486,No
2016,AL,0.4227142271422714,Yes
2017,AL,0.4287641207216321,Yes
2017,NL,0.423042904050501,No
2018,AL,0.41549993954781766,Yes
2018,NL,0.403338894127318,No
2019,NL,0.43074108840590175,No
2019,AL,0.43893390140861926,Yes
2020,NL,0.42117078812204495,Yes
2020,AL,0.4142283419391853,Yes
2021,AL,0.41468212498616863,Yes
2021,NL,0.4068284452384497,No
2022,NL,0.3979228159561048,Yes
2022,AL,0.39180600371565466,Yes
2023,NL,0.41649816064511413,Yes
2023,AL,0.411824012438657,Yes
